i,r,reg_cap_cost_mult
BATTERY,p49045,1.0316
BATTERY,p29169,1.0342
BATTERY,p48057,0.9954
BATTERY,p27137,1.0068
BATTERY,p08123,0.9907
BATTERY,p48055,0.9968
BATTERY,p48049,1.002
BATTERY,p13281,1.0187
BATTERY,p49047,1.0165
BATTERY,p55129,1.0081
BATTERY,p48041,0.9941
BATTERY,p13287,1.0068
BATTERY,p49049,1.0286
BATTERY,p08119,0.9923
BATTERY,p29175,1.0248
BATTERY,p48043,1.005
BATTERY,p27131,1.009
BATTERY,p01053,1.0039
BATTERY,p13285,1.0176
BATTERY,p48045,1.0019
BATTERY,p13283,1.022
BATTERY,p48047,1.0011
BATTERY,p29173,1.0375
BATTERY,p27133,1.0014
BATTERY,p13273,1.005
BATTERY,p48059,1.002
BATTERY,p01051,1.0132
BATTERY,p29167,1.0178
BATTERY,p29161,1.0415
BATTERY,p27143,1.0087
BATTERY,p13261,1.0093
BATTERY,p48073,1.0012
BATTERY,p09110,1.0501
BATTERY,p13259,1.0093
BATTERY,p48075,0.9991
BATTERY,p29159,1.0161
BATTERY,p27145,1.0074
BATTERY,p01049,1.0137
BATTERY,p13257,1.0177
BATTERY,p49039,1.0281
BATTERY,p48077,0.9979
BATTERY,p13255,1.0192
BATTERY,p48079,1.006
BATTERY,p48071,0.9918
BATTERY,p27129,1.0064
BATTERY,p49041,1.0291
BATTERY,p13263,1.0159
BATTERY,p13271,1.0147
BATTERY,p48061,1.001
BATTERY,p27139,1.0098
BATTERY,p13269,1.015
BATTERY,p49043,1.0272
BATTERY,p48063,1.0093
BATTERY,p29165,1.01
BATTERY,p13267,1.0266
BATTERY,p48065,1.0023
BATTERY,p08125,0.9929
BATTERY,p27141,1.0091
BATTERY,p29163,1.0466
BATTERY,p13265,1.02
BATTERY,p55133,1.0244
BATTERY,p48067,1.0126
BATTERY,p48069,1.0045
BATTERY,p29177,1.0106
BATTERY,p13289,1.0175
BATTERY,p48039,0.9912
BATTERY,p27115,1.0084
BATTERY,p13315,1.0111
BATTERY,p08111,1.0102
BATTERY,p48011,1.0019
BATTERY,p29189,1.0683
BATTERY,p13313,1.0167
BATTERY,p48013,0.9996
BATTERY,p27117,1.0011
BATTERY,p13311,1.019
BATTERY,p01057,1.0154
